# RD,Action Code,State Code,County Code,Site ID,Parameter,POC,Sample Duration,Unit,Method,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency
RD,I,6,1,2004,12128,7,7,3,305,20080927,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081003,0:00,4.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20081009,0:00,5.6,,6
RD,I,6,1,2004,12128,7,7,3,305,20081015,0:00,9.6,,6
RD,I,6,1,2004,12128,7,7,3,305,20081021,0:00,5.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20081027,0:00,4.1,,6
RD,I,6,1,2004,12128,7,7,3,305,20081102,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081108,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081114,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081120,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081126,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20081202,0:00,3.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20081208,0:00,6.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20081214,0:00,2.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20081220,0:00,3,,6
RD,I,6,1,2004,12128,7,7,3,305,20081226,0:00,,AR,6
RD,I,6,25,5,12128,1,7,3,803,20080101,0:00,4,,6
RD,I,6,25,5,12128,1,7,3,803,20080107,0:00,,AF,6
RD,I,6,25,5,12128,1,7,3,803,20080110,0:00,14.9,,6
RD,I,6,25,5,12128,1,7,3,803,20080113,0:00,2.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080119,0:00,12.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080125,0:00,15,,6
RD,I,6,25,5,12128,1,7,3,803,20080131,0:00,13.9,,6
RD,I,6,25,5,12128,1,7,3,803,20080206,0:00,32.9,,6
RD,I,6,25,5,12128,1,7,3,803,20080212,0:00,9.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080218,0:00,20.6,,6
RD,I,6,25,5,12128,1,7,3,803,20080224,0:00,25.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080301,0:00,45.9,,6
RD,I,6,25,5,12128,1,7,3,803,20080307,0:00,56.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080313,0:00,39.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080319,0:00,40.5,,6
RD,I,6,25,5,12128,1,7,3,803,20080325,0:00,14.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080331,0:00,12.1,,6
RD,I,6,25,5,12128,1,7,3,803,20080406,0:00,4.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080412,0:00,4.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080418,0:00,22.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080424,0:00,4.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080430,0:00,8.2,,6
RD,I,6,25,5,12128,1,7,3,803,20080506,0:00,31.6,,6
RD,I,6,25,5,12128,1,7,3,803,20080512,0:00,32.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080518,0:00,49.5,,6
RD,I,6,25,5,12128,1,7,3,803,20080524,0:00,8.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080530,0:00,4.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080605,0:00,15.2,,6
RD,I,6,25,5,12128,1,7,3,803,20080611,0:00,20.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080617,0:00,48.1,,6
RD,I,6,25,5,12128,1,7,3,803,20080623,0:00,13.9,,6
RD,I,6,25,5,12128,1,7,3,803,20080629,0:00,9.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080705,0:00,24.3,,6
RD,I,6,25,5,12128,1,7,3,803,20080711,0:00,11.6,,6
RD,I,6,25,5,12128,1,7,3,803,20080717,0:00,12.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080723,0:00,30.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080729,0:00,27.1,,6
RD,I,6,25,5,12128,1,7,3,803,20080804,0:00,26.5,,6
RD,I,6,25,5,12128,1,7,3,803,20080810,0:00,6.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080816,0:00,20.2,,6
RD,I,6,25,5,12128,1,7,3,803,20080822,0:00,13.1,,6
RD,I,6,25,5,12128,1,7,3,803,20080828,0:00,28.8,,6
RD,I,6,25,5,12128,1,7,3,803,20080903,0:00,8.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080909,0:00,38.7,,6
RD,I,6,25,5,12128,1,7,3,803,20080915,0:00,14.5,,6
RD,I,6,25,5,12128,1,7,3,803,20080921,0:00,8.4,,6
RD,I,6,25,5,12128,1,7,3,803,20080927,0:00,6.5,,6
RD,I,6,25,5,12128,1,7,3,803,20081003,0:00,7.1,,6
RD,I,6,25,5,12128,1,7,3,803,20081009,0:00,19.3,,6
RD,I,6,25,5,12128,1,7,3,803,20081015,0:00,6.3,,6
RD,I,6,25,5,12128,1,7,3,803,20081021,0:00,13.1,,6
RD,I,6,25,5,12128,1,7,3,803,20081027,0:00,6.5,,6
RD,I,6,25,5,12128,1,7,3,803,20081102,0:00,7.8,,6
RD,I,6,25,5,12128,1,7,3,803,20081108,0:00,24.3,,6
RD,I,6,25,5,12128,1,7,3,803,20081114,0:00,7.6,,6
RD,I,6,25,5,12128,1,7,3,803,20081120,0:00,14,,6
RD,I,6,25,5,12128,1,7,3,803,20081126,0:00,7.8,,6
RD,I,6,25,5,12128,1,7,3,803,20081202,0:00,35.7,,6
RD,I,6,25,5,12128,1,7,3,803,20081208,0:00,11.1,,6
RD,I,6,25,5,12128,1,7,3,803,20081214,0:00,5,,6
RD,I,6,25,5,12128,1,7,3,803,20081220,0:00,10.5,,6
RD,I,6,25,5,12128,1,7,3,803,20081226,0:00,,AF,6
RD,I,6,25,5,12128,1,7,3,803,20081227,0:00,5.1,,6
RD,I,6,95,6,12128,7,7,3,305,20080101,0:00,5.9,,6
RD,I,6,95,6,12128,7,7,3,305,20080107,0:00,3,,6
RD,I,6,95,6,12128,7,7,3,305,20080113,0:00,4.4,,6
RD,I,6,95,6,12128,7,7,3,305,20080119,0:00,5.4,,6
RD,I,6,95,6,12128,7,7,3,305,20080125,0:00,1.7,,6
RD,I,6,95,6,12128,7,7,3,305,20080131,0:00,4.6,,6
RD,I,6,95,6,12128,7,7,3,305,20080206,0:00,2.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080212,0:00,3.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080218,0:00,2.1,,6
RD,I,6,95,6,12128,7,7,3,305,20080224,0:00,2.9,,6
RD,I,6,95,6,12128,7,7,3,305,20080301,0:00,3.2,,6
RD,I,6,95,6,12128,7,7,3,305,20080307,0:00,5.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080313,0:00,16,,6
RD,I,6,95,6,12128,7,7,3,305,20080319,0:00,4.7,,6
RD,I,6,95,6,12128,7,7,3,305,20080325,0:00,10,,6
RD,I,6,95,6,12128,7,7,3,305,20080331,0:00,2.3,,6
RD,I,6,95,6,12128,7,7,3,305,20080406,0:00,1.8,,6
RD,I,6,95,6,12128,7,7,3,305,20080412,0:00,4.3,,6
RD,I,6,95,6,12128,7,7,3,305,20080418,0:00,4.7,,6
RD,I,6,95,6,12128,7,7,3,305,20080424,0:00,8.4,,6
RD,I,6,95,6,12128,7,7,3,305,20080430,0:00,7.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080506,0:00,12,,6
RD,I,6,95,6,12128,7,7,3,305,20080512,0:00,8.1,,6
RD,I,6,95,6,12128,7,7,3,305,20080518,0:00,7.4,,6
RD,I,6,95,6,12128,7,7,3,305,20080524,0:00,6.9,,6
RD,I,6,95,6,12128,7,7,3,305,20080530,0:00,5.8,,6
RD,I,6,95,6,12128,7,7,3,305,20080605,0:00,9.9,,6
RD,I,6,95,6,12128,7,7,3,305,20080611,0:00,25,,6
RD,I,6,95,6,12128,7,7,3,305,20080617,0:00,11,,6
RD,I,6,95,6,12128,7,7,3,305,20080623,0:00,12,,6
RD,I,6,95,6,12128,7,7,3,305,20080705,0:00,2.4,,6
RD,I,6,95,6,12128,7,7,3,305,20080711,0:00,2.1,,6
RD,I,6,95,6,12128,7,7,3,305,20080717,0:00,1.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080723,0:00,3.2,,6
RD,I,6,95,6,12128,7,7,3,305,20080729,0:00,2.8,,6
RD,I,6,95,6,12128,7,7,3,305,20080804,0:00,5.1,,6
RD,I,6,95,6,12128,7,7,3,305,20080810,0:00,5.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080816,0:00,3.9,,6
RD,I,6,95,6,12128,7,7,3,305,20080822,0:00,,AG,6
RD,I,6,95,6,12128,7,7,3,305,20080828,0:00,4.7,,6
RD,I,6,95,6,12128,7,7,3,305,20080831,0:00,3,,6
RD,I,6,95,6,12128,7,7,3,305,20080903,0:00,6.8,,6
RD,I,6,95,6,12128,7,7,3,305,20080909,0:00,0.75,,6
RD,I,6,95,6,12128,7,7,3,305,20080915,0:00,5.5,,6
RD,I,6,95,6,12128,7,7,3,305,20080921,0:00,4.8,,6
RD,I,6,95,6,12128,7,7,3,305,20080927,0:00,5.6,,6
RD,I,6,95,6,12128,7,7,3,305,20081003,0:00,2.4,,6
RD,I,6,95,6,12128,7,7,3,305,20081009,0:00,2.4,,6
RD,I,6,95,6,12128,7,7,3,305,20081015,0:00,3.7,,6
RD,I,6,95,6,12128,7,7,3,305,20081021,0:00,2.2,,6
RD,I,6,95,6,12128,7,7,3,305,20081027,0:00,2.7,,6
RD,I,6,95,6,12128,7,7,3,305,20081102,0:00,2.2,,6
RD,I,6,95,6,12128,7,7,3,305,20081108,0:00,1.5,,6
RD,I,6,95,6,12128,7,7,3,305,20081114,0:00,2.1,,6
RD,I,6,95,6,12128,7,7,3,305,20081120,0:00,2.1,,6
RD,I,6,95,6,12128,7,7,3,305,20081126,0:00,2.9,,6
RD,I,6,95,6,12128,7,7,3,305,20081202,0:00,2,,6
RD,I,6,95,6,12128,7,7,3,305,20081204,0:00,2.4,,6
RD,I,6,95,6,12128,7,7,3,305,20081208,0:00,,AJ,6
RD,I,6,95,6,12128,7,7,3,305,20081214,0:00,1.6,,6
RD,I,6,95,6,12128,7,7,3,305,20081220,0:00,0.75,,6
RD,I,6,95,6,12128,7,7,3,305,20081226,0:00,2.3,,6
RD,I,8,31,25,12128,1,7,1,108,20080101,0:00,0.0056,,6
RD,I,8,31,25,12128,1,7,1,108,20080107,0:00,0.0038,,6
RD,I,8,31,25,12128,1,7,1,108,20080113,0:00,0.0034,,6
RD,I,8,31,25,12128,1,7,1,108,20080119,0:00,0.0056,,6
RD,I,8,31,25,12128,1,7,1,108,20080125,0:00,0.0077,,6
RD,I,8,31,25,12128,1,7,1,108,20080131,0:00,0.0081,,6
RD,I,8,31,25,12128,1,7,1,108,20080206,0:00,0.0029,,6
RD,I,8,31,25,12128,1,7,1,108,20080212,0:00,0.0065,,6
RD,I,8,31,25,12128,1,7,1,108,20080218,0:00,0.0046,,6
RD,I,8,31,25,12128,1,7,1,108,20080224,0:00,0.0035,,6
RD,I,8,31,25,12128,1,7,1,108,20080301,0:00,0.0154,,6
RD,I,8,31,25,12128,1,7,1,108,20080307,0:00,,BJ,6
RD,I,8,31,25,12128,1,7,1,108,20080313,0:00,0.0102,,6
RD,I,8,31,25,12128,1,7,1,108,20080319,0:00,0.007,,6
RD,I,8,31,25,12128,1,7,1,108,20080325,0:00,0.0101,,6
RD,I,8,31,25,12128,1,7,1,108,20080331,0:00,0.0031,,6
RD,I,8,31,25,12128,1,7,1,108,20080406,0:00,0.003,,6
RD,I,8,31,25,12128,1,7,1,108,20080412,0:00,0.0048,,6
RD,I,8,31,25,12128,1,7,1,108,20080418,0:00,0.009,,6
RD,I,8,31,25,12128,1,7,1,108,20080424,0:00,0.0166,,6
RD,I,8,31,25,12128,1,7,1,108,20080430,0:00,0.0081,,6
RD,I,8,31,25,12128,1,7,1,108,20080506,0:00,0.0111,,6
RD,I,8,31,25,12128,1,7,1,108,20080512,0:00,0.0071,,6
RD,I,8,31,25,12128,1,7,1,108,20080518,0:00,0.0055,,6
RD,I,8,31,25,12128,1,7,1,108,20080524,0:00,0.0041,,6
RD,I,8,31,25,12128,1,7,1,108,20080530,0:00,0.0083,,6
RD,I,8,31,25,12128,1,7,1,108,20080605,0:00,0.0037,,6
RD,I,8,31,25,12128,1,7,1,108,20080611,0:00,0.0043,,6
RD,I,8,31,25,12128,1,7,1,108,20080617,0:00,0.0139,,6
RD,I,8,31,25,12128,1,7,1,108,20080623,0:00,0.0078,,6
RD,I,8,31,25,12128,1,7,1,108,20080629,0:00,0.0037,,6
RD,I,8,31,25,12128,1,7,1,108,20080705,0:00,0.0166,,6
RD,I,8,31,25,12128,1,7,1,108,20080711,0:00,0.0163,,6
RD,I,8,31,25,12128,1,7,1,108,20080717,0:00,0.0075,,6
RD,I,8,31,25,12128,1,7,1,108,20080723,0:00,0.0087,,6
RD,I,8,31,25,12128,1,7,1,108,20080729,0:00,0.0119,,6
RD,I,8,31,25,12128,1,7,1,108,20080804,0:00,0.0094,,6
RD,I,8,31,25,12128,1,7,1,108,20080810,0:00,0.0032,,6
RD,I,8,31,25,12128,1,7,1,108,20080816,0:00,0.0031,,6
RD,I,8,31,25,12128,1,7,1,108,20080822,0:00,0.0082,,6
RD,I,8,31,25,12128,1,7,1,108,20080828,0:00,0.0066,,6
RD,I,8,31,25,12128,1,7,1,108,20080903,0:00,0.0082,,6
RD,I,8,31,25,12128,1,7,1,108,20080909,0:00,0.0173,,6
RD,I,8,31,25,12128,1,7,1,108,20080915,0:00,0.0087,,6
RD,I,8,31,25,12128,1,7,1,108,20080921,0:00,0.0035,,6
RD,I,8,31,25,12128,1,7,1,108,20080927,0:00,0.0079,,6
RD,I,8,31,25,12128,1,7,1,108,20081003,0:00,0.0124,,6
RD,I,8,31,25,12128,1,7,1,108,20081009,0:00,0.0072,,6
RD,I,8,31,25,12128,1,7,1,108,20081015,0:00,,AV,6
RD,I,8,31,25,12128,1,7,1,108,20081024,0:00,0.0078,,6
RD,I,8,31,25,12128,1,7,1,108,20081028,0:00,0.0123,,6
RD,I,8,31,25,12128,1,7,1,108,20081102,0:00,0.0065,,6
RD,I,8,31,25,12128,1,7,1,108,20081108,0:00,0.0048,,6
RD,I,8,31,25,12128,1,7,1,108,20081114,0:00,0.0039,,6
RD,I,8,31,25,12128,1,7,1,108,20081120,0:00,0.0042,,6
RD,I,8,31,25,12128,1,7,1,108,20081126,0:00,0.0186,,6
RD,I,8,31,25,12128,1,7,1,108,20081202,0:00,0.0038,,6
RD,I,8,31,25,12128,1,7,1,108,20081208,0:00,0.0052,,6
RD,I,8,31,25,12128,1,7,1,108,20081214,0:00,0.0036,,6
RD,I,8,31,25,12128,1,7,1,108,20081220,0:00,0.0026,,6
RD,I,8,31,25,12128,1,7,1,108,20081226,0:00,0.0018,,6
RD,I,8,31,25,12128,2,7,1,108,20080101,0:00,0.0059,,6
RD,I,8,31,25,12128,2,7,1,108,20080107,0:00,0.0042,,6
