# RD,Action Code,State Code,County Code,Site ID,Parameter,POC,Sample Duration,Unit,Method,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency
RD,I,1,109,3,12128,3,7,1,107,20080101,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20080107,0:00,3.473,,6
RD,I,1,109,3,12128,3,7,1,107,20080113,0:00,,AQ,6
RD,I,1,109,3,12128,3,7,1,107,20080114,0:00,0.193,,6
RD,I,1,109,3,12128,3,7,1,107,20080119,0:00,0.037,,6
RD,I,1,109,3,12128,3,7,1,107,20080125,0:00,0.364,,6
RD,I,1,109,3,12128,3,7,1,107,20080131,0:00,0.348,,6
RD,I,1,109,3,12128,3,7,1,107,20080206,0:00,1.1,,6
RD,I,1,109,3,12128,3,7,1,107,20080212,0:00,3.608,,6
RD,I,1,109,3,12128,3,7,1,107,20080218,0:00,0.251,,6
RD,I,1,109,3,12128,3,7,1,107,20080224,0:00,0.149,,6
RD,I,1,109,3,12128,3,7,1,107,20080301,0:00,1.913,,6
RD,I,1,109,3,12128,3,7,1,107,20080307,0:00,0.83,,6
RD,I,1,109,3,12128,3,7,1,107,20080313,0:00,,AN,6
RD,I,1,109,3,12128,3,7,1,107,20080319,0:00,,AN,6
RD,I,1,109,3,12128,3,7,1,107,20080325,0:00,0.631,,6
RD,I,1,109,3,12128,3,7,1,107,20080331,0:00,1.044,,6
RD,I,1,109,3,12128,3,7,1,107,20080406,0:00,0.267,,6
RD,I,1,109,3,12128,3,7,1,107,20080412,0:00,0.195,,6
RD,I,1,109,3,12128,3,7,1,107,20080418,0:00,1.624,,6
RD,I,1,109,3,12128,3,7,1,107,20080424,0:00,0.299,,6
RD,I,1,109,3,12128,3,7,1,107,20080430,0:00,1.819,,6
RD,I,1,109,3,12128,3,7,1,107,20080506,0:00,0.231,,6
RD,I,1,109,3,12128,3,7,1,107,20080512,0:00,0.052,,6
RD,I,1,109,3,12128,3,7,1,107,20080518,0:00,,AS,6
RD,I,1,109,3,12128,3,7,1,107,20080524,0:00,0.065,,6
RD,I,1,109,3,12128,3,7,1,107,20080530,0:00,0.379,,6
RD,I,1,109,3,12128,3,7,1,107,20080605,0:00,0.986,,6
RD,I,1,109,3,12128,3,7,1,107,20080611,0:00,,AN,6
RD,I,1,109,3,12128,3,7,1,107,20080617,0:00,,AI,6
RD,I,1,109,3,12128,3,7,1,107,20080623,0:00,0.06,,6
RD,I,1,109,3,12128,3,7,1,107,20080629,0:00,0.094,,6
RD,I,1,109,3,12128,3,7,1,107,20080705,0:00,0.243,,6
RD,I,1,109,3,12128,3,7,1,107,20080711,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20080717,0:00,0.035,,6
RD,I,1,109,3,12128,3,7,1,107,20080723,0:00,0.159,,6
RD,I,1,109,3,12128,3,7,1,107,20080729,0:00,0.935,,6
RD,I,1,109,3,12128,3,7,1,107,20080804,0:00,0.7,,6
RD,I,1,109,3,12128,3,7,1,107,20080810,0:00,0.055,,6
RD,I,1,109,3,12128,3,7,1,107,20080816,0:00,0.447,,6
RD,I,1,109,3,12128,3,7,1,107,20080822,0:00,0.1,,6
RD,I,1,109,3,12128,3,7,1,107,20080828,0:00,,AN,6
RD,I,1,109,3,12128,3,7,1,107,20080903,0:00,0.484,,6
RD,I,1,109,3,12128,3,7,1,107,20080909,0:00,0.357,,6
RD,I,1,109,3,12128,3,7,1,107,20080915,0:00,0.219,,6
RD,I,1,109,3,12128,3,7,1,107,20080921,0:00,0.026,,6
RD,I,1,109,3,12128,3,7,1,107,20080927,0:00,0.063,,6
RD,I,1,109,3,12128,3,7,1,107,20081003,0:00,0.966,,6
RD,I,1,109,3,12128,3,7,1,107,20081009,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20081015,0:00,0.202,,6
RD,I,1,109,3,12128,3,7,1,107,20081021,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20081027,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20081102,0:00,0.046,,6
RD,I,1,109,3,12128,3,7,1,107,20081108,0:00,,AN,6
RD,I,1,109,3,12128,3,7,1,107,20081114,0:00,0.57,,6
RD,I,1,109,3,12128,3,7,1,107,20081120,0:00,0.105,,6
RD,I,1,109,3,12128,3,7,1,107,20081126,0:00,0.187,,6
RD,I,1,109,3,12128,3,7,1,107,20081202,0:00,0.735,,6
RD,I,1,109,3,12128,3,7,1,107,20081208,0:00,0.759,,6
RD,I,1,109,3,12128,3,7,1,107,20081214,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20081220,0:00,,AV,6
RD,I,1,109,3,12128,3,7,1,107,20081226,0:00,,AM,6
RD,I,1,109,3,12128,4,7,1,107,20080101,0:00,0.096,,6
RD,I,1,109,3,12128,4,7,1,107,20080107,0:00,3.083,,6
RD,I,1,109,3,12128,4,7,1,107,20080113,0:00,,AQ,6
RD,I,1,109,3,12128,4,7,1,107,20080114,0:00,0.222,,6
RD,I,1,109,3,12128,4,7,1,107,20080119,0:00,0.043,,6
RD,I,1,109,3,12128,4,7,1,107,20080125,0:00,0.412,,6
RD,I,1,109,3,12128,4,7,1,107,20080131,0:00,0.193,,6
RD,I,1,109,3,12128,4,7,1,107,20080206,0:00,1.014,,6
RD,I,1,109,3,12128,4,7,1,107,20080212,0:00,3.415,,6
RD,I,1,109,3,12128,4,7,1,107,20080218,0:00,0.318,,6
RD,I,1,109,3,12128,4,7,1,107,20080224,0:00,0.18,,6
RD,I,1,109,3,12128,4,7,1,107,20080301,0:00,1.46,,6
RD,I,1,109,3,12128,4,7,1,107,20080307,0:00,0.736,,6
RD,I,1,109,3,12128,4,7,1,107,20080313,0:00,0.606,,6
RD,I,1,109,3,12128,4,7,1,107,20080319,0:00,1.146,,6
RD,I,1,109,3,12128,4,7,1,107,20080325,0:00,0.722,,6
RD,I,1,109,3,12128,4,7,1,107,20080331,0:00,1.036,,6
RD,I,1,109,3,12128,4,7,1,107,20080406,0:00,0.308,,6
RD,I,1,109,3,12128,4,7,1,107,20080412,0:00,0.238,,6
RD,I,1,109,3,12128,4,7,1,107,20080418,0:00,1.704,,6
RD,I,1,109,3,12128,4,7,1,107,20080424,0:00,0.303,,6
RD,I,1,109,3,12128,4,7,1,107,20080430,0:00,2.079,,6
RD,I,1,109,3,12128,4,7,1,107,20080506,0:00,0.335,,6
RD,I,1,109,3,12128,4,7,1,107,20080512,0:00,0.078,,6
RD,I,1,109,3,12128,4,7,1,107,20080518,0:00,,AS,6
RD,I,1,109,3,12128,4,7,1,107,20080524,0:00,,AN,6
RD,I,1,109,3,12128,4,7,1,107,20080530,0:00,0.426,,6
RD,I,1,109,3,12128,4,7,1,107,20080605,0:00,1.472,,6
RD,I,1,109,3,12128,4,7,1,107,20080611,0:00,0.571,,6
RD,I,1,109,3,12128,4,7,1,107,20080617,0:00,0.075,,6
RD,I,1,109,3,12128,4,7,1,107,20080623,0:00,0.051,,6
RD,I,1,109,3,12128,4,7,1,107,20080629,0:00,0.086,,6
RD,I,1,109,3,12128,4,7,1,107,20080705,0:00,,AZ,6
RD,I,1,109,3,12128,4,7,1,107,20080711,0:00,0.351,,6
RD,I,1,109,3,12128,4,7,1,107,20080717,0:00,,AV,6
RD,I,1,109,3,12128,4,7,1,107,20080723,0:00,,AV,6
RD,I,1,109,3,12128,4,7,1,107,20080729,0:00,1.068,,6
RD,I,1,109,3,12128,4,7,1,107,20080804,0:00,0.711,,6
RD,I,1,109,3,12128,4,7,1,107,20080810,0:00,0.046,,6
RD,I,1,109,3,12128,4,7,1,107,20080816,0:00,0.455,,6
RD,I,1,109,3,12128,4,7,1,107,20080822,0:00,0.08,,6
RD,I,1,109,3,12128,4,7,1,107,20080828,0:00,0.026,,6
RD,I,1,109,3,12128,4,7,1,107,20080903,0:00,0.548,,6
RD,I,1,109,3,12128,4,7,1,107,20080909,0:00,0.414,,6
RD,I,1,109,3,12128,4,7,1,107,20080915,0:00,0.22,,6
RD,I,1,109,3,12128,4,7,1,107,20080921,0:00,0.029,,6
RD,I,1,109,3,12128,4,7,1,107,20080927,0:00,0.076,,6
RD,I,1,109,3,12128,4,7,1,107,20081003,0:00,0.966,,6
RD,I,1,109,3,12128,4,7,1,107,20081009,0:00,0.094,,6
RD,I,1,109,3,12128,4,7,1,107,20081015,0:00,0.214,,6
RD,I,1,109,3,12128,4,7,1,107,20081021,0:00,0.039,,6
RD,I,1,109,3,12128,4,7,1,107,20081027,0:00,0.021,,6
RD,I,1,109,3,12128,4,7,1,107,20081102,0:00,0.048,,6
RD,I,1,109,3,12128,4,7,1,107,20081108,0:00,0.059,,6
RD,I,1,109,3,12128,4,7,1,107,20081114,0:00,0.691,,6
RD,I,1,109,3,12128,4,7,1,107,20081120,0:00,0.147,,6
RD,I,1,109,3,12128,4,7,1,107,20081126,0:00,0.187,,6
RD,I,1,109,3,12128,4,7,1,107,20081202,0:00,0.685,,6
RD,I,1,109,3,12128,4,7,1,107,20081208,0:00,0.609,,6
RD,I,1,109,3,12128,4,7,1,107,20081214,0:00,0.538,,6
RD,I,1,109,3,12128,4,7,1,107,20081220,0:00,0.037,,6
RD,I,1,109,3,12128,4,7,1,107,20081226,0:00,,AM,6
RD,I,6,1,2004,12128,7,7,3,305,20080101,0:00,,AF,6
RD,I,6,1,2004,12128,7,7,3,305,20080107,0:00,7.9,,6
RD,I,6,1,2004,12128,7,7,3,305,20080113,0:00,13,,6
RD,I,6,1,2004,12128,7,7,3,305,20080119,0:00,18,,6
RD,I,6,1,2004,12128,7,7,3,305,20080125,0:00,12,,6
RD,I,6,1,2004,12128,7,7,3,305,20080131,0:00,3.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080206,0:00,4.9,,6
RD,I,6,1,2004,12128,7,7,3,305,20080212,0:00,13,,6
RD,I,6,1,2004,12128,7,7,3,305,20080218,0:00,3.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080224,0:00,8.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080301,0:00,5.7,,6
RD,I,6,1,2004,12128,7,7,3,305,20080307,0:00,15,,6
RD,I,6,1,2004,12128,7,7,3,305,20080313,0:00,3.7,,6
RD,I,6,1,2004,12128,7,7,3,305,20080319,0:00,10,,6
RD,I,6,1,2004,12128,7,7,3,305,20080325,0:00,13,,6
RD,I,6,1,2004,12128,7,7,3,305,20080331,0:00,3.4,,6
RD,I,6,1,2004,12128,7,7,3,305,20080406,0:00,8.3,,6
RD,I,6,1,2004,12128,7,7,3,305,20080412,0:00,7.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080418,0:00,5.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20080424,0:00,9.7,,6
RD,I,6,1,2004,12128,7,7,3,305,20080430,0:00,5.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080506,0:00,8.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20080512,0:00,6.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080518,0:00,3.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20080524,0:00,4.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080530,0:00,6,,6
RD,I,6,1,2004,12128,7,7,3,305,20080605,0:00,7.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080611,0:00,13,,6
RD,I,6,1,2004,12128,7,7,3,305,20080617,0:00,7.4,,6
RD,I,6,1,2004,12128,7,7,3,305,20080623,0:00,8.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080629,0:00,8.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080705,0:00,6.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080711,0:00,10,,6
RD,I,6,1,2004,12128,7,7,3,305,20080717,0:00,12,,6
RD,I,6,1,2004,12128,7,7,3,305,20080723,0:00,12,,6
RD,I,6,1,2004,12128,7,7,3,305,20080729,0:00,3.6,,6
RD,I,6,1,2004,12128,7,7,3,305,20080804,0:00,4.5,,6
RD,I,6,1,2004,12128,7,7,3,305,20080810,0:00,3.2,,6
RD,I,6,1,2004,12128,7,7,3,305,20080816,0:00,2.3,,6
RD,I,6,1,2004,12128,7,7,3,305,20080822,0:00,4.8,,6
RD,I,6,1,2004,12128,7,7,3,305,20080828,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20080903,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20080909,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20080915,0:00,,AR,6
RD,I,6,1,2004,12128,7,7,3,305,20080921,0:00,,AR,6
