"Dataset","Site","Date","Al","Alk","Br","Ca","CL","DIN","DO","DOC","Fe","K","Mg","Mn","Mn_diss","N_tot_Kj","Na","NO3","ORP","P_tot","pH","PO4_o","SC","SO4","SSC","TDP","Temp","TOC","Turb","Zn_diss"
"WQ","PWR",2007-04-10,0,240,2.99,0,0.1,0.31,12.6,21.6,0.046,26.3,0,38.6,2.28,0.1,38.6,0.25,159,0,7.6,104,0.8,0,7.64,0.08,6.33,28,8.5,0.44
"WQ","PWR",2007-05-09,7.46,260,4.41,4.6,0.1,0.38,9.97,23.4,0.124,26.3,0,39.2,2.63,0.11,39.1,0.38,287,0,8.97,96.3,0.83,0.1,30.89,0.2,14.13,26.1,25.6,1.82
"WQ","PWR",2007-06-13,1.57,230,7.08,1.9,0.1,0.29,7.63,15.9,0.007,33.3,0,18.7,2.9,0.07,14.7,0.15,203,0,7.95,118,0.87,0,1.94,0.08,15.95,18.4,1.4,0.09
"WQ","PWR",2007-07-18,2.11,230,7.5,2.3,0.1,0.21,-999999,11.8,0.004,37.2,0,7.67,3.45,0,6.4,0.18,-999999,0,-999999,112,-999999,0.1,-1.53,0.08,-999999,10.6,-999999,0.04
"WQ","PWR",2007-08-01,2.88,220,6.42,3,0.1,0.32,7.77,17.8,0.004,34.7,0,15.3,3.54,0.07,14.7,0.18,278,0,7.6,112,0.87,0,0.88,0.09,18.76,12.9,-0.4,0
"WQ","PWR",2007-09-04,5.46,250,9.84,5,0.2,0.19,8.01,7.9,0.009,40.5,0,38.7,4.04,0.08,39.2,0.24,158,0,7.55,145,0.99,0,-0.4,0.08,18.24,16.4,0,0
"WQ","PWR",2007-11-05,5.45,230,11.2,5.1,0.1,0.19,8.69,15.6,0.002,32.7,0,53.3,3.86,0,42.5,0.21,-193,0,7.46,197,1.01,0,2.74,0,11.91,15.7,3.7,0
"WQ","PWR",2008-02-11,4.86,220,10.6,3.8,0.1,0.4,12.04,4.8,0.009,28.9,0,26.5,2.67,0.21,25.6,0.36,207,0.04,8.55,94.4,0.59,0,-0.79,0.12,3.1,4.3,3.1,0.16
"WQ","PWR",2008-03-25,3.3,180,6.76,2.6,0,0.29,12.97,3.4,0.019,18.4,0,12.9,1.84,0.13,9.9,0.27,-199,0,8.09,62.8,0.41,0,8.19,0.15,5.89,5.7,11,0.75
"WQ","PWR",2008-04-16,2.81,230,5,1.8,0.1,0.3,11.5,3.3,0.02,21.9,0,11.5,2.12,0.14,7.7,0.25,-154,0.04,7.99,83.1,-999999,0,6.39,0.11,8.82,3.4,6.4,0.43
"WQ","PWR",2008-06-09,3.1,230,7.74,2,0.1,0.32,8.5,3.3,0.023,24.3,0,8.7,3.78,2.44,6.6,0.37,-80,0.02,7.84,72.3,0.6,0,9.05,0.17,18.13,3.3,13.2,0.45
"WQ","PWR",2008-07-30,3.19,220,7.68,5,0.1,0.21,6.07,-999999,0.003,31.6,0,6.92,3.05,0.07,9.4,0.18,168,0,7.12,89.6,0.77,0,-0.8,0.07,18.53,-999999,1.5,0
"WQ","PWR",2008-08-12,3.18,210,7.24,3.5,0.1,0.27,7.9,2.1,0.004,30.5,0,0,3.08,0.07,0,0.18,337,0,7.57,93.2,0.75,0.1,0,0.08,18.01,2.1,-0.4,0.03
"WQ","PWR",2008-09-17,2.03,230,-999999,2,-999999,0.26,8.29,2.4,0.013,41,0,13.2,3.36,0.08,11.8,-999999,-7,0,7.64,-999999,0.9,0,12.75,0.28,16.85,1.9,0.4,0
"WQ","PWR",2008-10-15,3.28,240,7.36,3,0.1,0.24,6.6,2.2,0.027,45.1,0,9.56,3.69,0.06,11,0.21,28,0,6.62,118,0.9,0,5.14,0.07,16.53,2.7,1.2,0.04
"WQ","PWR",2008-12-09,6.01,210,7.38,5.8,0,0.24,12.22,4.6,0.006,-999999,0,19.8,6.87,0.09,20.5,0.21,232,0.06,7.81,144,2.45,0.1,3.4,0.09,8,5.8,88.2,0
"WQ","PWR",2009-01-26,0.005,210,9.5,5.6,0.1,0.39,12.7,3.6,0.006,-999999,0,22,3.6,0.1,20.5,0.27,-44,0,7.57,108,1.21,0,5.53,0.11,2.11,3.6,0.2,0
"WQ","PWR",2009-02-24,3.27,210,8.08,1.7,0.1,0.28,13.99,3.7,0.007,45.3,0,23.5,2.83,0.1,22.7,0.27,176,0.03,-999999,88.2,0.89,0,1.6,0.08,2.58,3.1,-0.2,0.03
"WQ","PWR",2009-03-17,1.71,240,5.27,1.9,0.1,-999999,11.29,4.9,0.011,33.6,0,16.6,3.11,-999999,21.7,0.27,348,0.03,7.32,97.5,0.84,-999999,6.45,-999999,8.59,4.8,5.2,0.19
"WQ","PWR",2009-04-27,4.6,220,5.18,4.4,0.1,0.72,10.15,5,0.058,29.5,0,18,2.94,0.12,19.7,0.36,322,0,7.67,88.1,0.54,0.1,17.87,0.16,13.77,4.4,17.8,0.84
"WQ","PWR",2009-05-21,3.52,240,5.21,3.3,0.1,0.48,7.69,3.6,0.037,32.6,0,0,3.21,0.15,0,0.43,155,0,6.5,88.4,0.84,0,2.15,0.16,17.58,4,5.2,0.15
"WQ","PWR",2009-06-09,4.4,220,6.32,3,0.1,0.48,8.72,6.3,0.019,34.2,0,21.5,3.5,0.11,19.4,0.35,158,0.06,7.93,87.8,0.53,0,10.23,0.14,16.32,5,7.2,0.27
"WQ","PWR",2009-07-16,4.6,240,5.01,1.7,0,0.4,-999999,4.8,0.132,34.5,0.1,27.3,3.04,0.08,24,0,-999999,0,-999999,106,-999999,0,39.94,0.11,-999999,2,-999999,0.39
"WQ","PWR",2009-09-14,5.76,230,3.84,5.6,0,0.58,5.61,2.8,0.036,34.1,0,8.76,3.32,0.13,7.7,0,188,0,7.67,88.1,0.84,0,18.62,0.18,16.74,2.9,193.8,0.29
"WQ","REF_7",2005-06-21,0.921,240,0.13,136,206,0.31,9.01,3,0.658,3.12,23.4,0.0485,0.0293,0.2,65.5,0.55,301,0.18,7.55,0.46,1.16,69.7,26.8,0.15,16.05,3,21.2,0
"WQ","REF_7",2005-07-26,0.813,240,0.16,112,141,0.18,7.01,8.8,0.648,3.37,19.6,0.0614,0.0373,0.44,55,0.51,233,0.17,7.52,0.52,1,41.1,15.6,0.15,23.3,14,22.2,0
"WQ","REF_7",2005-08-16,0.135,290,0.22,132,171,0.06,5.21,9.9,0.172,7.73,23.8,1.71,1.67,2.02,74.7,0.19,188,0.2,7.67,0.54,1.25,52.7,1.67,0.19,20.9,19,23.4,0
"WQ","REF_7",2005-09-22,2.28,220,0.08,89.5,66.8,0.17,9.22,8.4,1.75,2.47,15.2,0.273,0.3,0.55,28.9,0.62,231,0.23,7.67,0.41,0.92,40.5,31.3,0.13,18.1,18,8.6,13
"WQ","REF_7",2005-10-31,0.126,230,0.07,105,108,0.01,8.83,13,0.075,2.95,17.6,0.0104,0.0088,0.14,51.1,0.06,230,0.14,7.56,0.52,0.73,52.3,8.6,0.14,8.53,14,4.5,0
"WQ","REF_7",2006-02-09,0.108,200,0.05,122,174,0.3,13.86,6.6,0.096,1.62,21.4,0.007,0.0022,0.17,70.8,1.28,299,0.15,7.52,0.24,1.14,68,1.67,0.07,0.19,13,3.9,12.2
"WQ","REF_7",2006-03-20,0.433,200,0.05,114,134,0.36,13.04,9.6,0.556,1.78,20.6,0.023,0.0023,0.27,49.7,1.53,271,0.1,7.61,0.31,0.97,68.4,12.9,0.06,4.07,10.7,15.4,13.4
"WQ","REF_7",2006-05-09,0.255,220,0.08,143,209,0.22,8.21,17.4,0.276,2.24,26.7,0.0283,0.0162,0.25,68.4,0.95,286,0.18,7.81,0.34,1.32,87.9,9.3,0.16,12.67,19.4,14,15.4
"WQ","REF_7",2006-06-06,0.794,240,0.09,124,204,0.14,8.87,9.4,0.591,2.56,22.3,0.0477,0.0281,0.2,65,0.68,135,0.17,7.68,0.42,1.13,65.6,15.2,0.13,14.77,10.9,14.5,13.4
"WQ","REF_7",2006-07-10,0.517,300,0.41,167,280,0.28,6.3,5.1,0.419,4.04,32.3,0.219,0.232,0.46,119,1.21,209,0.23,7.63,0.48,1.52,55.1,11.8,0.16,18.18,5.2,17,17.3
"WQ","REF_7",2006-08-08,0.268,270,0.42,114,149,0.01,4.57,8.7,0.251,3.72,19.7,0.478,0.681,1.22,66.9,0.62,239,0.26,7.93,0.63,1.09,30.5,5,0.26,21.8,18.1,4.2,19.9
"WQ","REF_7",2006-09-05,0.226,210,0.05,99.1,112,0.06,7.84,19.8,0.174,3.05,16.8,0.0211,0.0146,0.49,48.4,0.28,188,0.12,7.74,0.39,0.87,62.5,0,0.13,17.13,19.5,5.3,28.9
"WQ","REF_7",2006-10-16,0.372,220,0.05,96.1,121,0.03,10.14,11.1,0.23,2.93,16.5,0.0193,0.0131,0.28,44.5,0.12,336,0.17,7.85,0.43,0.87,50.8,6.1,0.17,9.84,13.7,7.3,51.5
"WQ","REF_7",2006-11-13,0.445,220,0.19,102,120,0.47,11.2,15.5,0.475,2.74,17.6,0.0251,0.0037,0.14,43.1,0.09,350,0.16,7.94,0.39,0.88,54.7,9.07,0.17,7.2,17.6,5.9,62
"WQ","REF_7",2006-12-05,0.205,210,0.16,108,124,0.35,-999999,15.4,0.213,2.14,18.5,0.01,0.003,0.27,41.9,1.52,344,0.14,8.05,0.38,0.62,60.4,2.58,0.12,0.81,17.1,19.5,60
"WQ","REF_7",2007-01-10,0.478,200,0.04,98.2,100,0.46,14.1,16.3,0.423,1.62,15.8,0.0166,0.0027,0.15,33.6,2.13,365,0.11,7.82,0.35,0.79,56.1,18.79,0.09,2.04,16.9,11.5,51
"WQ","REF_7",2007-03-08,0.122,200,0.06,120,192,0.58,14.67,17.4,0.098,1.81,19.9,0.0046,8e-04,0,69.6,2.5,308,0.12,7.85,0.32,1.16,75.3,0,0.11,0.29,18,0,29.3
"WQ","REF_7",2007-04-10,0.145,240,0.07,129,195,0.15,13.29,22.1,0.105,1.57,23.5,0.0072,0.0031,0,58.2,0.72,184,0.1,7.93,0.26,1.15,87.4,2.78,0.09,4.54,23,8,42.4
"WQ","REF_7",2007-05-09,0.724,250,0.09,166,229,0.26,9.32,24.5,0.493,2.3,30.1,0.0282,0.0128,0,73.2,1.11,277,0.15,8.76,0.36,1.37,95.1,42.25,0.12,14.37,25.2,13,49.7
"WQ","REF_7",2007-06-13,0.907,280,0.19,161,279,0.09,7.5,20.4,0.781,3.42,30.8,0.231,0.201,0.44,98.7,0.45,211,0.2,7.64,0.43,1.54,73.8,21.32,0.14,16.43,21.2,15,15.6
"WQ","REF_7",2007-07-18,0.201,260,0.13,122,175,0.04,-999999,18.8,0.198,3.31,22.4,0.0403,0.0196,0,70,0.27,-999999,0.15,-999999,0.36,-999999,46.3,-2.12,0.14,-999999,15.3,-999999,13.7
"WQ","REF_7",2007-08-01,0.157,280,0.16,131,232,0.18,6.1,10.9,0.123,3.71,23.8,0.179,0.2,0.37,92.8,0.8,255,0.22,7.87,0.52,1.35,45,10.85,0.2,19.53,17.2,28.7,16
"WQ","REF_7",2007-11-05,0.129,190,0.018,105,119,0.09,9.32,15.2,0.13,2.74,18.2,7.61,0.0015,0,48.6,0.33,-181,0.07,7.33,0.4,0.95,108,14.09,0,9.27,16.2,0.8,40.4
"WQ","REF_7",2008-02-11,0.139,160,0.041,94.9,161,2.47,12.51,3.9,0.108,1.94,15.4,0.0031,0.0011,0.4,68.2,10.7,171,0.12,8.62,0.35,0.87,55.7,2.37,0.12,-0.02,3.3,2.9,22.9
"WQ","REF_7",2008-03-25,0.37,150,0,72,96.8,0.52,14.3,3.1,0.36,1.38,11.4,0.0095,5e-04,0.15,41.6,2.43,-190,0.16,7.71,0.28,0.68,38.2,3.81,0.12,3.63,3.4,8.6,10.9
"WQ","REF_7",2008-04-16,0.154,200,0.048,116,163,0.04,13.04,2.8,0.118,1.58,19.2,0.0046,0.0011,0,55.1,0.13,-154,0.1,7.98,0.21,0.69,67.9,3.94,0.1,7.42,2.5,4.4,6
"WQ","REF_7",2008-06-09,0.81,220,0.063,110,151,0.23,7.91,3.4,1.01,3.11,18.3,0.0549,0.0166,0.14,59.5,1.07,-42,0.27,7.39,0.37,0.93,60,65.38,0.16,20.25,3.4,14.2,127
"WQ","REF_7",2008-07-30,0.368,280,0.14,117,175,0.04,6.75,-999999,0.379,3.25,19.8,0.105,0.0893,0.27,77.6,0.27,192,0.18,7.11,0.46,1.15,41.7,1.22,0.16,19.04,-999999,31.4,10.4
"WQ","REF_7",2008-08-12,0.215,270,0.14,132,213,0.06,6.76,3.6,0.219,3.34,22.9,0.0689,0.0574,0.25,94.3,0.4,315,0.18,7.54,0.39,0.84,47.1,3.94,0.14,17.46,4,3.7,0
"WQ","REF_7",2008-10-15,0.139,220,0.062,142,182,1.16,7.6,4.8,0.192,3.21,23.2,0.122,0.104,0.34,98.8,4.91,296,0.21,6.79,0.57,1.26,130,9.93,0.19,15.73,5.4,5,10.8
"WQ","REF_7",2008-12-09,0.405,190,0.045,118,202,0,11.49,3.7,0.581,2.56,20.4,0.0332,0.0041,0.27,73.7,0.09,136,0.2,7.33,0.37,1.15,72.7,20.1,0.14,4.23,5,-1.4,0
"WQ","REF_7",2009-01-26,0.064,160,0.066,111,233,0.6,16.31,2.5,0.085,2.55,20,0.0052,0.0017,0.16,88.7,2.91,-177,0.11,7.27,0.31,0.61,72.1,1.22,0.1,-0.08,2.2,0.8,22.5
"WQ","REF_7",2009-02-24,0.099,150,0.069,114,338,-999999,15.12,2.5,0.12,2.43,19.3,0.0063,0.0012,0,147,3.12,166,0.1,-999999,0.28,1.54,65.4,7.09,0.09,-0.05,2.8,2.4,21.7
"WQ","REF_7",2009-03-17,0.161,220,0.86,117,0.1,0.19,10.9,3.6,0.197,2.77,19.4,0.0091,0.0011,-999999,131,0.34,277,-999999,8.67,69.4,1.46,-999999,7.18,-999999,8.88,2.7,7.7,19.5
"WQ","REF_7",2009-04-27,0.518,200,0.07,114,225,0.08,9.99,3.5,0.488,2.33,19.4,0.0234,0.0051,0.56,90.9,0.37,326,0.12,7.89,0.33,1.22,62.9,18.47,0.11,16.31,3,12.5,23.3
"WQ","REF_7",2009-05-21,0.514,210,0.071,135,242,0.15,8.93,2.6,0.451,2.49,22.8,0.0192,0.006,0.47,103,0.8,125,0.17,7.33,0.36,1.34,63.2,12.15,0.12,15.3,3.2,12.6,10.8
"WQ","REF_7",2009-06-09,0.422,240,0.13,137,262,0.06,8.16,6.2,0.364,3.13,24.7,0.085,0.0713,0.56,112,0.28,165,0.16,7.72,0.42,1.45,52.8,12.82,0.13,17.3,4.3,8.9,24.7
"WQ","REF_7",2009-07-16,0.156,300,0.26,161,347,0.08,5.05,4.3,0.172,3.56,29.1,0.2,0.189,0.49,127,0.46,-26,0.17,7.93,0,1.67,38,6.89,0.18,19.43,4.2,0.3,28.7
"WQ","REF_7",2009-09-14,0.187,260,0,129,173,0,7.7,3.9,0.309,3.48,21.9,0.052,0.0304,0.89,86.9,0.39,183,0.13,7.73,0,1.22,53.2,15.24,0.1,15.31,4.1,13.6,6.6
"WQ","REF_7",2009-10-06,0.698,220,0,107,138,0,7.9,3.8,1.02,3.07,18.5,0.0543,0.0094,0.8,71.2,0,54,0.17,9,0,1.02,41.8,45.92,0.11,11.95,3.7,30.2,7.6
"WQ","REF_7",2009-12-07,1.34,250,-999999,124,172,0.11,12.75,3.4,1.95,2.42,23.2,0.111,0.0074,-999999,62.4,0.37,87,0.2,7.82,0,1.24,61.7,98.31,0.1,2.48,3.3,4.9,26.1
"WQ","REF_7",2010-02-01,0.278,250,0,129,243,0.41,14.26,1.9,0.309,1.94,25.2,0.015,0.0026,0.51,88.6,1.66,68,0.21,7.85,0,1.56,74.9,5.36,0.04,-0.01,2,9.4,37.6
"WQ","REF_7",2010-03-17,0.752,230,0,112,193,0.24,12.15,3.4,0.656,1.84,19.8,0.0322,0.0018,0.75,84.6,0.92,74,0.13,8.05,0,1.2,61.4,27.87,0.05,8.49,2.9,29.7,36.5
"WQ","REF_7",2010-04-01,0.864,260,0,125,190,0.12,11.66,2.8,0.896,1.76,21.5,0.035,0.0015,0.62,75,0.43,9,0.18,7.95,0,1.17,65.9,12.91,0.34,9.33,2.7,30.5,33.8
"WQ","REF_7",2010-05-25,-999999,260,0,-999999,222,0.25,8.83,3.3,-999999,-999999,-999999,-999999,-999999,0.86,-999999,1.06,148,0.39,7.89,0,1.33,67.3,71.64,0.1,17.07,3.2,51.1,-999999
"WQ","REF_7",2010-07-06,1.18,260,-999999,132,-999999,0.23,8.11,61.9,1.08,3.48,24.1,0.0922,0.048,0.61,75.8,-999999,279,0.29,7.76,-999999,1.36,-999999,31.97,0.18,20.2,61.6,22.3,0
"WQ","REF_7",2010-08-04,0.346,290,-999999,146,-999999,-999999,3.43,5.5,0.423,5.76,30.5,0.228,0.108,-999999,162,-999999,-300,-999999,9.9,-999999,1.96,-999999,9.09,-999999,23.53,5.5,34.7,0
"WQ","ROA",2005-04-19,0.13,280,0.1,134,182,0.09,11.27,9.8,0.155,3.9,23.3,0.0229,0.0146,0.34,106,0.48,309,0.11,8.19,0.31,1.28,138,3,0.1,13.65,16.4,5.2,0
"WQ","ROA",2005-05-26,1.08,280,0.1,128,125,0.45,9.85,18,0.963,3.62,22.2,0.0533,0.022,0.5,91.3,1.93,274,0.21,8.24,0.52,1.12,117,17.9,0.16,15.98,22,23,0
"WQ","ROA",2005-06-21,0.62,250,0.11,115,155,0.37,9.11,3.9,0.577,3.83,19.1,0.0287,0.0096,0.39,89.1,1.57,275,0.2,7.84,0.58,1.13,95.5,14.3,0.18,17.78,3.9,12.2,0
"WQ","ROA",2005-07-26,0.206,220,0.11,90.7,149,0.24,6.23,5.6,0.182,4.35,14.9,0.0638,0.0518,0.39,92.1,0.99,230,0.17,7.53,0.52,1.05,65.3,1.67,0.15,25.2,5.9,0,0
"WQ","ROA",2005-08-16,0,230,0.35,98.1,252,0.05,6.86,10,0.114,5.15,18.1,0.107,0.0818,0.39,145,0.22,189,0.14,7.77,0.42,1.42,62.9,1.67,0.12,22.05,15,15.6,0
"WQ","ROA",2005-09-22,0.266,200,0.06,82.8,182,0.17,9.01,11,0.257,3.84,13.3,0.0234,0.0167,0.28,102,0.44,224,0.2,7.77,0.64,1.08,55.3,6.9,0.19,19.22,13,6,12
"WQ","ROA",2005-10-31,0.146,220,0.07,90.1,147,0.13,8.49,12,0.139,3.61,14.3,0.0879,0.0548,0.24,105,0.55,265,0.17,7.32,0.58,1.08,69.2,1.67,0.15,7.34,16,5,0
"WQ","ROA",2006-02-09,0.081,260,0.07,129,155,0.56,14.24,8.9,0.093,2.11,21.9,0.0114,0.0069,0.2,100,2.48,266,0.09,7.87,0.25,1.27,101,1.67,0.09,0.39,16,3.8,13.6
"WQ","ROA",2006-03-20,0.125,260,0.07,128,112,0.47,13.33,9.9,0.178,2.57,21.9,0.0115,0.0056,0.32,75.3,1.94,273,0.09,7.73,0.35,1.04,105,5.4,0.08,4.21,11.8,4.8,12.4
"WQ","ROA",2006-05-09,0.102,290,0.1,122,123,2.93,8.49,17.5,0.112,2.69,22.4,0.0243,0.0267,0.27,73.7,1.29,278,0.18,7.94,0.41,1.14,114,1.67,0.16,12.59,18.1,3.7,15.3
"WQ","ROA",2006-06-06,0.395,250,0.07,94.9,117,0.04,11.14,11.1,0.353,2.82,17,0.0634,0.0529,0.34,66.5,0.32,152,0.21,7.98,0.57,0.97,80.3,9.7,0.17,16.01,14.9,3.6,14.1
"WQ","ROA",2006-07-10,0.073,240,0.25,96.1,170,0.01,5.91,5.8,0.107,4.89,20.4,0.171,0.103,0.43,112,0.29,248,0.27,7.63,0.85,1.15,38.8,1.67,0.24,19.46,17.6,1.7,14.1
"WQ","ROA",2006-08-08,0,240,0.29,84.8,138,0.01,5.72,8.6,0.124,4.97,14.8,0.321,0.358,1.17,92.9,0.68,231,0.36,8.02,0.83,1.03,38.2,1.67,0.3,23.16,16.4,0,12
"WQ","ROA",2006-09-05,0.127,200,0.19,82.2,135,0.16,7.38,18.6,0.155,3.78,13.4,0.152,0.135,0.48,87.8,0.69,155,0.17,7.82,0.5,0.55,64.2,0,0.17,17.75,24.2,2.3,30
"WQ","ROA",2006-10-16,0.129,240,0.06,92.6,132,0.08,9.5,17.9,0.162,3.94,16,0.122,0.11,0.86,77.9,0.29,336,0.3,7.94,0.5,0.97,71.3,0,0.19,9.72,21.5,7,45.2
"WQ","ROA",2006-11-13,0.095,250,0.06,106,76.9,0.26,-999999,22.7,0.123,3.7,18.2,0.0137,0.0086,0.26,50.3,0,-999999,0.21,-999999,0.52,-999999,77.9,0.7,0.23,-999999,25.7,-999999,60.9
"WQ","ROA",2006-12-05,0.137,270,0.05,116,75.1,0.49,14.7,17.5,0.157,2.89,19.6,0.015,0.0101,0.47,44.8,1.67,339,0.17,8.1,0.36,0.94,92.9,3.31,0.15,0.72,31,16.4,64.1
"WQ","ROA",2007-01-10,0.438,260,0.05,109,62.4,0.59,14.1,29.6,0.411,2.17,16.9,0.0182,0.0061,0.39,38.5,2.66,333,0.13,8.05,0.4,0.83,82.1,17.08,0.11,1.87,28.4,9.9,56.5
"WQ","ROA",2007-03-08,0.083,270,0.1,138,340,0.7,15.84,19.7,0.063,2.69,21.3,0.0071,0.0051,0.18,171,3.05,265,0.11,7.96,0.36,1.76,113,1.4,0.14,0.91,17.1,0,25.4
"WQ","ROA",2007-04-10,0,290,0.09,131,200,0,16.56,26.8,0,2.11,22.6,0.0061,0.0051,0.14,101,0.12,132,0.08,8.41,0.21,1.32,126,1.6,0.08,4.75,27.1,0,41.8
"WQ","ROA",2007-05-09,0.28,320,0.1,143,178,0.39,9.9,27.9,0.187,2.86,26,0.0413,0.0358,0.14,102,1.79,318,0.16,8.94,0.43,1.32,126,5.27,0.13,14.67,29.4,4.8,41
"WQ","ROA",2007-06-13,0.223,270,0.13,107,233,0.08,5.7,18.6,0.281,3.91,19,0.341,0.28,0.85,129,0.86,206,0.54,7.73,0.82,1.64,66.4,4.38,0.25,17.52,27.3,12,17.1
"WQ","ROA",2007-07-18,0.226,210,0.08,76.9,185,0.09,-999999,18,0.274,3.4,13.1,0.0937,0.0413,0.28,111,0.44,-999999,0.25,-999999,0.64,-999999,38.8,5.29,0.22,-999999,15,-999999,7.01
"WQ","ROA",2007-08-01,0.058,230,0.16,85.2,229,0.08,8.07,18.2,0.121,3.98,14.7,0.132,0.107,0.38,129,0.42,258,0.26,7.97,0.64,1.26,43,14.34,0.22,20.85,15.9,6.2,9.88
"WQ","ROA",2007-09-04,0.612,240,0.41,97.9,336,0,4,22.5,0.624,7.52,19,0.462,0.435,0.93,182,0.18,107,0.2,7.43,0.22,1.71,71.7,21.75,0.1,18.8,29.5,10.8,34.4
"WQ","ROA",2007-11-05,0.057,230,0.081,110,213,0.15,11.36,17.9,0.058,4.2,18,0.0364,0.0335,0.24,122,0.62,-194,0.07,7.61,0.46,1.36,118,9.98,0.1,8.13,17.9,2.3,45.6
"WQ","ROA",2008-02-11,0.155,220,0.057,111,221,1.31,12.99,3.6,0.13,2.27,16.5,0.0053,0.0024,0,121,5.62,177,0.13,8.54,0.37,1.16,88.7,-1.19,0.12,0.19,4.5,4.4,17.7
"WQ","ROA",2008-03-25,0.134,210,0.031,95.7,132,0.5,14.97,3.1,0.142,1.81,14.4,0.0063,0.0014,0.23,83.1,2.02,-187,0.13,7.88,0.26,0.99,77.8,1.23,0.11,3.48,3.2,2.8,18.9
"WQ","ROA",2008-04-16,0.089,240,0.071,104,112,0.09,13.77,3.4,0.047,1.79,17.6,0.004,0.0028,0.16,68.7,0.27,-156,0.09,8.02,0.18,0.64,92.6,-0.39,0.09,6.57,3.1,-0.1,6.4
"WQ","ROA",2008-06-09,0.475,240,0.054,97.6,82.6,0.56,8.17,3.8,0.585,3.7,15.6,0.0313,0.0136,0.26,67.5,2.54,-51,0.21,7.78,0.46,0.79,100,12.86,0.18,20.58,3.8,15.7,19.2
"WQ","ROA",2008-07-30,1.12,200,0.055,67,99.2,0.3,6.81,-999999,1.17,3.01,11.3,0.0923,0.0213,0,75.2,1.43,188,0.38,7.11,0.58,0.8,44.3,32.16,0.29,18.55,-999999,5.9,7
"WQ","ROA",2008-08-12,0.239,170,0.037,66,98.5,0.22,8.9,3.2,0.222,2.8,11.2,0.0257,0.02,0.23,68.4,1.15,309,0.21,7.62,0.52,0.74,54.6,3.61,0.19,19.62,3.2,4.3,0
"WQ","ROA",2008-09-17,0.114,190,-999999,70.5,-999999,0,9.27,4.4,0.16,5.17,13.7,0.0253,0.02,1.76,69.7,-999999,-20,2.03,7.63,-999999,0.8,-999999,22.64,0.28,16.82,4,4.7,9.3
"WQ","ROA",2008-10-15,1.16,190,0.071,76.4,151,0,6.6,4.1,1.77,4.68,13.9,0.197,0.0766,0.44,99.9,0.03,243,0.43,7.14,0.86,1,72,56.26,0.3,16.32,4.6,11.7,8.4
"WQ","ROA",2008-12-09,0,150,0.07,69.1,117,0.97,12.44,3.2,0.023,3.89,15.3,0.0117,0.0113,0.8,73.6,3.98,264,0.25,7.47,0.58,0.83,80.5,1.79,0.61,1.68,4.8,-2.4,0
"WQ","ROA",2009-01-26,0,150,0.1,80.1,270,0.68,16.74,1.9,0.017,3.16,19.9,0.0055,0.0048,0,145,3.33,-147,0.1,7.02,0.26,1.35,92,2.39,0.1,-0.07,1.8,-1.7,16.5
"WQ","ROA",2009-02-24,0,190,0.12,109,495,-999999,17.26,3.4,0.018,3.03,22.1,0.0052,0.005,0.3,269,2.69,180,0.06,-999999,0.19,2.18,102,0.4,0.06,-0.16,2.6,-0.1,20.1
"WQ","ROA",2009-03-17,0.099,200,0.086,78.3,237,0,15.16,4.3,0.122,3,17.4,0.0105,0.0063,-999999,140,0.1,276,-999999,10.2,0.22,1.29,97.5,2.06,-999999,13.47,3.5,1.2,15.2
"WQ","ROA",2009-04-27,0.161,220,0.11,92,140,0.36,11.91,3.8,0.193,2.52,17,0.0199,0.0116,0.61,79.1,0.96,315,0.13,8.02,0.45,1.01,88,3.47,0.14,17.72,3.7,3,24.6
"WQ","ROA",2009-05-21,0.157,240,0.067,101,114,0.54,8.77,3.3,0.146,3.06,17.9,0.0187,0.0129,0.53,81.5,2.17,122,0.18,6.89,0.51,0.9,81.1,2.14,0.17,19.33,3.6,5,0
"WQ","ROA",2009-06-09,0.414,200,0.067,76.6,113,0.36,6.59,5.1,0.4,3.19,14.9,0.0415,0.0263,0.52,78,1.76,107,0.22,8.73,0.61,0.9,60.3,12.52,0.18,19.68,4.7,8.8,16.3
"WQ","ROA",2009-07-16,0.107,210,0,78.1,133,0,6.07,3.8,0.123,3.29,15.2,0.0741,0.0665,0.44,77,0.55,105,0.22,7.7,0,0.95,53.8,6.8,0.19,19.65,3.4,13.6,0.02
"WQ","ROA",2009-09-14,0.042,180,0,76.5,120,0.1,8.85,2.7,0.087,3.47,14.3,0.0769,0.0728,0.74,89.5,0.68,165,0.21,8.03,0.48,0.95,77.4,2,0.19,15.84,2.7,3.7,0
"WQ","ROA",2009-10-06,0.049,190,0,75.4,91.5,0.22,8.83,3.7,0.088,3.32,14.2,0.0188,0.0148,0.49,78.3,1.18,51,0.22,9.22,0,0.85,70.4,2.82,0.21,11.74,3.5,1.8,7.3
"WQ","ROA",2009-12-07,0.108,290,0,124,113,0.21,13.89,4.2,0.08,3.16,22.9,0.0096,0.006,-999999,69.5,0.78,76,0.15,8.05,0,1.21,107,-2.43,0.14,2.23,3.9,-0.9,26.3
"WQ","ROA",2010-02-01,0.103,290,0,140,300,0.51,18.51,2.9,0.053,2.58,24.4,0.0109,0.0085,0.59,155,1.84,60,0.06,8.01,0,1.95,120,-1.64,0.08,0.19,2.9,-0.1,34.2
